ID,Language_ID,Form,Language,Parameter_ID,Value,Concept,Elicitation_phrase,,,,
,wbm-xiaomenge,,Xiaomenge,8,lu,classifier for hat ,one hat ,,,,
,wbm-xiaomenge,,Xiaomenge,9,pʰy,classifier for trousers ,one trousers ,,,,
,wbm-xiaomenge,,Xiaomenge,10,pʰy,classifier for shirt ,one shirt ,,,,
,wbm-xiaomenge,,Xiaomenge,11,ku,classifier for chopstick (pair) ,one chopstick (pair) ,,,,
,wbm-xiaomenge,,Xiaomenge,12,kʰɔn,classifier for chopstick (single) ,one chopstick (single) ,,,,
,wbm-xiaomenge,,Xiaomenge,13,ku,classifier for shoe (pair),one shoe (pair),,,,
,wbm-xiaomenge,,Xiaomenge,14,kʰɔn,classifier for shoe (single),one shoe (single),,,,
,wbm-xiaomenge,,Xiaomenge,15,mu,classifier for cushion ,one cushion ,,,,
,wbm-xiaomenge,,Xiaomenge,16,sklum,classifier for flower ,one flower ,,,,
,wbm-xiaomenge,,Xiaomenge,17,lɛŋ,classifier for tree ,one tree ,,,,
,wbm-xiaomenge,,Xiaomenge,18,mu/lʌŋ,classifier for house,one house,,,,
,wbm-xiaomenge,,Xiaomenge,19,luk,classifier for table ,one table ,,,,
,wbm-xiaomenge,,Xiaomenge,20,mu,classifier for chair ,one chair ,,,,
,wbm-xiaomenge,,Xiaomenge,21,lɛŋ,classifier for pen ,one pen ,,,,
,wbm-xiaomenge,,Xiaomenge,22,mʌ,classifier for spoon ,one spoon ,,,,
,wbm-xiaomenge,,Xiaomenge,23,gɔŋ,classifier for noodle ,one noodle ,,,,
,wbm-xiaomenge,,Xiaomenge,24,blʌ,classifier for leaf ,one leaf ,,,,
,wbm-xiaomenge,,Xiaomenge,25,gə,classifier for room ,one room ,,,,
,wbm-xiaomenge,,Xiaomenge,26,gə,classifier for person ,one person ,,,,
,wbm-xiaomenge,,Xiaomenge,27,gə,classifier for teacher ,one teacher ,,,,
,wbm-xiaomenge,,Xiaomenge,28,mu,classifier for spider ,one spider ,,,,
,wbm-xiaomenge,,Xiaomenge,29,lu,classifier for stone ,one stone ,,,,
,wbm-xiaomenge,,Xiaomenge,30,mu,classifier for boat ,one boat ,,,,
,wbm-xiaomenge,,Xiaomenge,31,mu,classifier for banana ,one banana ,,,,
,wbm-xiaomenge,,Xiaomenge,32,mu,classifier for papaya,one papaya,,,,
,wbm-xiaomenge,,Xiaomenge,33,glɔn,classifier for cloud ,one cloud ,,,,
,wbm-xiaomenge,,Xiaomenge,34,kʰɔn,classifier for hand ,one hand ,,,,
